id,name_it,group,unit,ref_qty,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,monounsat_g,polyunsat_g,transfat_g,omega3_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,vitc_mg,vita_ug,vitd_ug,b12_ug,folate_ug,confidence,note,plant,fermented,upf
polpette_legumi,Polpette/burger di legumi fatti in casa,legumi,g,100,175,9.5,20.0,2.0,6.0,5.5,0.80,1.1,2.48,0,0.15,240,380,55,2.6,50,1.4,3,60,0,0,110,low,"composito: legumi + verdure, cotto in padella",legume_misto,0,0
chapati,Chapati / roti integrale,cereali,g,100,297,9.0,55.0,1.5,7.0,4.0,0.90,1.2,1.4,0.02,0.06,220,220,40,3.0,90,1.5,0,0,0,0,25,medium,pane piatto indiano di farina integrale,frumento,0,0
momo_nepalese,Momo nepalesi al vapore,cereali,g,100,200,8.0,26.0,1.5,1.8,7.0,2.50,1.93,2.25,0.035,0.05,420,190,30,1.6,22,1.0,3,25,0.1,0.4,20,low,"ravioli al vapore, ripieno misto verdure/carne",frumento,0,0
noodles_saltati,Noodles saltati con verdure (chow mein),cereali,g,100,180,5.5,26.0,2.0,2.0,6.0,1.00,1.8,2.1,0.03,0.05,480,160,25,1.4,25,0.6,8,120,0,0,30,low,peso da cotto,frumento,0,1
masala_chai,Masala chai (te' al latte zuccherato),bevande,ml,100,60,1.8,9.0,8.5,0,1.8,1.10,0.49,0.09,0.054,0.01,25,90,65,0.1,8,0.2,0,18,0.05,0.25,3,low,te' nero con latte e zucchero,te,1,0
fave,Fave sgusciate,legumi,g,100,88,7.6,11.7,1.8,5.4,0.7,0.11,0.14,0.32,0,0.03,25,250,22,1.9,33,0.9,5,15,0,0,100,medium,"fresche o surgelate, sgusciate",fava,0,0
babka_mandorle,Babka / girella lievitata cioccolato e mandorle,dolci,g,100,400,7.0,45.0,20.0,2.5,21.0,10.00,7.19,2.65,0.315,0.10,260,190,60,1.8,40,0.8,0,130,0.5,0.2,30,low,"dolce da pasticceria, stima",frumento,1,1
arancia,Arancia media,frutta,unit,1,62,1.2,15.4,12.2,3.1,0.2,0.02,0.07,0.05,0,0.01,0,237,52,0.1,13,0.1,70,11,0,0,39,high,~130 g edibili · ~140 g edibili,arancia,0,0
broccoli,Broccoli,verdura,g,100,35,2.4,7.2,1.4,3.3,0.4,0.04,0.1,0.14,0,0.13,41,293,40,0.7,21,0.4,65,63,0,0,108,high,cotti al vapore · vale anche per i cavolini di Bruxelles,broccolo,0,0
piselli_verdi,Piselli verdi lessati/surgelati,verdura,g,100,81,5.4,14.5,5.7,5.1,0.4,0.07,0.1,0.14,0,0.04,5,244,25,1.5,33,1.2,20,38,0,0,65,high,peso da cotti,pisello,0,0
panettone,Panettone,dolci,g,100,370,7.0,52.0,25.0,2.0,15.0,8.5,4.17,1.43,0.3,0.05,250,220,60,1.5,20,0.8,0,150,0.6,0.3,30,low,con uvetta e canditi,frumento,1,1
dal_cotto,Dal indiano cotto,legumi,g,100,120,6.0,15.0,1.5,5.0,3.5,0.60,0.7,1.57,0,0.05,300,300,30,2.2,40,1.0,2,20,0,0,90,low,zuppa di lenticchie speziata gia' cotta,lenticchia,0,0
naan,Pane piatto indiano (naan/chapati/puri),cereali,g,100,310,8.5,50.0,3.5,2.2,8.0,2.50,2.37,2.77,0.04,0.05,480,130,80,2.5,25,0.9,0,0,0,0,60,medium,vale per naan roti chapati e puri,frumento,1,0
dosa,Dosa / idli (riso e lenticchie fermentati),cereali,g,100,165,4.0,30.0,0.8,1.5,3.0,0.60,0.9,1.05,0.015,0.02,250,90,20,1.2,25,0.6,0,0,0,0,20,low,pastella fermentata di riso e lenticchie,riso,1,0
mandarino,Mandarino,frutta,unit,1,42,0.6,10.4,8.4,1.4,0.2,0.03,0.07,0.05,0,0.01,2,133,30,0.1,9,0.06,21,27,0,0,13,high,~80 g edibili,mandarino,0,0
melagrana,Melagrana (chicchi),frutta,g,100,83,1.7,18.7,13.7,4.0,1.2,0.12,0.42,0.3,0,0.00,3,236,10,0.3,12,0.35,10.2,0,0,0,38,high,solo gli arilli,melograno,0,0
mela,Mela,frutta,unit,1,78,0.4,20.6,15.5,3.6,0.3,0.04,0.1,0.07,0,0.01,2,161,9,0.2,8,0.06,7,5,0,0,5,high,~150 g,mela,0,0
kiwi,Kiwi,frutta,g,100,61,1.1,14.7,9.0,3.0,0.5,0.03,0.17,0.12,0,0.04,3,312,34,0.3,17,0.14,92.7,4,0,0,25,high,,kiwi,0,0
zucca,Zucca,verdura,g,100,26,1.0,6.5,2.8,0.5,0.1,0.05,0.02,0.03,0,0.01,1,340,21,0.8,12,0.32,9,426,0,0,16,high,,zucca,0,0
miele,Miele,dolci,g,100,304,0.3,82.4,82.1,0.2,0.0,0.00,0,0,0,0.00,4,52,6,0.4,2,0.22,0.5,0,0,0,2,high,,,0,0
salame,Salame,proteine,g,100,390,25.0,1.0,0.5,0,32.0,12.0,14.4,3.2,0.16,0.30,1800,380,12,1.4,20,3.0,0,0,0.6,1.5,2,medium,,,1,1
salmone_affumicato,Salmone affumicato,proteine,g,100,117,18.3,0,0,0,4.3,0.90,1.5,1.29,0,1.40,1880,175,11,0.9,18,0.30,0,26,17.1,3.3,2,high,,,0,1
filetto_crosta,Filetto in crosta (Beef Wellington),proteine,g,100,300,16.0,15.0,1.0,1.0,20.0,9.0,8.06,1.54,0.6,0.10,400,270,25,2.0,20,3.0,1,120,0.4,1.5,20,low,manzo + sfoglia + funghi,frumento,0,0
panzerotto,Panzerotto / fritto ripieno,cereali,unit,1,430,12.0,42.0,3.0,2.0,23.0,8.0,6.45,7.52,0.115,0.10,700,180,200,2.0,25,1.5,3,90,0.2,0.4,40,low,~150 g di pasta fritta ripiena,frumento,0,1
gallette_farro,Gallette di farro,cereali,g,100,380,11.0,74.0,1.0,5.5,3.0,0.6,0.9,1.05,0.015,0.05,25,240,25,2.0,90,2.0,0,0,0,0,25,medium,,farro,0,1
fagioli_stufati,Fagioli stufati in salsa di pomodoro,legumi,g,100,94,4.8,16.9,5.2,4.9,0.5,0.10,0.1,0.23,0,0.05,400,296,46,1.4,31,0.6,0,1,0,0,29,medium,"baked beans in scatola, tipo colazione britannica",fagiolo,0,1
bacon,Bacon / pancetta affumicata cotta,proteine,g,100,541,37.0,1.4,0,0,41.8,13.70,18.81,4.18,0.209,0.10,1717,565,11,1.4,32,3.5,0,11,0.4,0.9,2,medium,,,1,1
scone,Scone,cereali,g,100,360,7.5,54.0,10.0,2.0,12.5,7.50,2.05,2.39,0.062,0.10,450,120,120,2.0,15,0.6,0,110,0.3,0.2,40,low,"scone britannico, stima",frumento,0,1
injera,Injera (pane di teff fermentato),cereali,g,100,170,4.5,35.0,0.5,4.0,1.0,0.20,0.3,0.35,0.005,0.03,180,180,25,3.0,80,1.2,0,0,0,0,20,low,pane etiope di pastella di teff fermentata,teff,1,0
kebab_wrap,Kebab in piadina (durum),cereali,unit,1,650,32.0,60.0,5.0,4.0,30.0,9.00,9,10.5,0.15,0.20,1500,500,150,4.0,60,4.0,8,80,0.3,1.5,60,low,"~350 g: pane piatto, carne di kebab, insalata e salsa",frumento,0,1
strudel_mele,Strudel di mele,dolci,g,100,280,3.5,40.0,20.0,2.2,11.5,5.00,3.91,1.38,0.172,0.08,180,140,25,0.9,10,0.3,3,90,0.2,0.1,10,low,,frumento,0,1
spirulina,Spirulina in polvere,integratori,g,100,290,57.5,23.9,3.1,3.6,7.7,2.65,2.31,2.31,0,0.82,1048,1363,120,28.5,195,2.0,10.1,29,0,0,94,medium,si usa a cucchiaini,spirulina,0,1
cavolo_rosso,Cavolo cappuccio rosso,verdura,g,100,31,1.4,7.4,3.8,2.1,0.2,0.02,0.05,0.07,0,0.03,27,243,45,0.8,16,0.2,57,56,0,0,18,high,vale anche marinato in agrodolce,cavolo_rosso,0,0
cavolfiore,Cavolfiore,verdura,g,100,25,1.9,5.0,1.9,2.0,0.3,0.13,0.07,0.09,0,0.02,30,299,22,0.4,15,0.3,48,0,0,0,57,high,,cavolfiore,0,0
birra,Birra chiara,bevande,ml,100,43,0.5,3.6,0.0,0,0,0.00,0,0,0,0.00,4,27,4,0.0,6,0.0,0,0,0,0.02,6,high,birra bionda ~5%,orzo,1,0
salmone,Salmone fresco cotto,proteine,g,100,206,22.1,0,0,0,12.4,3.10,4.34,3.72,0,2.02,61,384,9,0.3,29,0.4,0,12,13.1,3.2,26,high,,,0,0
pera,Pera media,frutta,unit,1,101,0.6,27.1,17.4,5.5,0.2,0.02,0.07,0.05,0,0.01,2,206,16,0.3,13,0.2,7.5,2,0,0,13,high,~180 g edibili,pera,0,0
cinnamon_roll,Cinnamon roll (girella alla cannella),dolci,unit,1,380,6.5,52.0,24.0,2.0,16.0,8.0,5.24,1.8,0.32,0.05,320,120,60,1.8,18,0.6,0,100,0.4,0.2,40,low,"~100 g, brioche lievitata con burro e zucchero",frumento,1,1
patatine_fritte,Patatine fritte,verdura,g,100,312,3.4,41.0,0.3,3.8,15.0,2.30,5.25,6.75,0,0.06,210,580,15,0.8,25,0.4,9,0,0,0,25,low,patate fritte in olio di semi,patata,0,1
barbabietola,Barbabietola rossa cotta,verdura,g,100,44,1.7,10.0,8.0,2.0,0.2,0.03,0.05,0.07,0,0.01,78,305,16,0.8,23,0.35,3.6,2,0,0,80,high,vale anche frullata negli impasti,barbabietola,0,0
cavolo_nero,Cavolo nero,verdura,g,100,35,2.9,4.4,0.8,4.1,0.6,0.09,0.15,0.21,0,0.18,38,350,150,1.6,33,0.4,93,500,0,0,62,high,,cavolo_nero,0,0
anguria,Anguria,frutta,g,100,30,0.6,7.6,6.2,0.4,0.15,0.02,0.05,0.04,0,0.00,1,112,7,0.24,10,0.10,8.1,28,0,0,3,high,,anguria,0,0
vitello_tonnato,Vitello tonnato,proteine,g,100,230,20.0,2.0,1.0,0.2,16.0,2.8,7.06,5.49,0,0.20,380,300,20,1.5,25,2.5,0,25,0.6,1.2,12,low,stima: vitello magro con salsa di tonno maionese e capperi (circa 60/40). Nessuna delle due parti sta a catalogo da sola,,0,0
coca_cola,Coca Cola (classica),bevande,ml,100,42,0,10.6,10.6,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,high,valori di etichetta. Una lattina sono 330 ml = 139 kcal,,0,1
asparagi,Asparagi cotti,verdura,g,100,22,2.4,4.1,1.3,2.0,0.2,0.05,0.05,0.07,0,0.01,14,224,23,0.9,14,0.6,8,50,0,0,149,medium,"lessati o al vapore, senza condimento",asparago,0,0
funghi_porcini,Porcini,verdura,g,100,27,3.1,3.3,1.0,2.5,0.4,0.06,0.1,0.14,0,0,5,318,3,0.5,10,0.5,2,0,0.2,0,17,low,freschi. Voce sua e non champignon perche' il contatore delle piante diverse conta le specie,porcino,0,0
granola,Granola,cereali,g,100,450,10.0,60.0,20.0,7.0,18.0,3.0,6.3,6.3,0,0.2,30,350,60,3.0,110,2.2,0,0,0,0,30,low,varia molto per marca: controlla l'etichetta. Un cucchiaino sono circa 5 g,avena,0,1
pesto_genovese,Pesto alla genovese,grassi,g,100,550,6.0,6.0,1.5,1.5,55.0,8.5,33,7.7,0,0.4,800,200,180,1.5,40,1.0,3,80,0,0.2,20,low,"stima: basilico, olio, pinoli, formaggio. Cambia molto fra industriale e fatto in casa",basilico,0,0
stracchino,Stracchino,latticini,g,100,300,15.0,1.5,1.5,0,26.0,17.0,6.06,0.87,1.04,0.2,480,100,350,0.2,20,1.8,0,230,0.4,0.9,20,medium,,,1,0
ragu_cervo,Ragu' di cervo,proteine,g,100,120,13.1,1.8,1.4,0.5,6.4,1.23,2.82,0.38,0.128,0.06,253,285,9,2.1,18,1.2,3,15,0,3.5,7,low,"ricavato dagli ingredienti: 55 g di cervo crudo + 30 g di passata + 8 g di soffritto + 5 g di olio per 100 g di sugo. Rispetto al ragu' di manzo ha meno grasso e piu' proteine, ferro e B12: la selvaggina e' magra",pomodoro,0,0
marmellata_mirtilli,Marmellata di mirtilli,dolci,g,100,250,0.4,65.0,60.0,1.0,0.1,0.01,0.03,0.01,0.002,0.00,30,80,20,0.4,5,0.1,3,1,0,0,2,medium,clone di marmellata_fragola: fra le due confetture la differenza nutrizionale sta sotto l'errore di lettura di un'etichetta. Voce sua perche' il contatore delle piante diverse conta le SPECIE,mirtillo,0,1
mousse_proteica_cioccolato,Mousse proteica al cioccolato,latticini,unit,1,160,20.0,9.0,7.0,0.5,5.0,3.0,1.4,0.2,0.1,0,120,300,220,0.3,25,0.8,0,20,0.5,0.6,10,low,"le 160 kcal sono quelle dichiarate da Michele. Le macro sono quelle che TORNANO a 160 con Atwater (20x4 + 9x4 + 5x9 = 161) sulla composizione tipica del vasetto proteico da banco frigo. Nessuna etichetta letta: se salta fuori la marca, si correggono",,0,1
protein_pudding_90,Protein pudding 90 kcal,latticini,unit,1,90,10.0,8.0,6.0,0.5,2.0,1.2,0.6,0.2,0.05,0,70,180,140,0.2,18,0.5,0,10,0.2,0.4,7,low,"90 kcal dichiarate da Michele il 25/08/2026; macro e micronutrienti stimati su un piccolo pudding proteico generico. Correggere dalla confezione quando disponibile",,0,1
sedano,Sedano crudo,verdura,g,100,16,0.7,3.0,1.3,1.6,0.2,0.04,0.03,0.08,0,0.00,80,260,40,0.2,11,0.13,3.1,22,0,0,36,high,,sedano,0,0
barretta_proteica,Barretta proteica al caramello salato,integratori,unit,1,200,20.0,17.0,3.0,5.0,6.0,3.0,1.8,0.7,0.1,0.02,180,200,150,1.5,60,1.2,0,0,0,0.3,10,low,"200 kcal e 20 g di proteine sono quelli dichiarati da Michele il 21/08/2026. Carboidrati e grassi sono quelli che TORNANO a 200 con Atwater (20x4 + 17x4 + 6x9 = 202) sulla composizione tipica di una barretta whey da banco. Micronutrienti stimati sulla media della categoria, non letti da un'etichetta: se salta fuori la marca, si correggono",,0,1
latte_scremato,Latte scremato,latticini,ml,100,35,3.4,4.9,4.9,0,0.1,0.06,0.03,0.01,0,0.00,44,156,123,0.03,11,0.4,0,1,0,0.5,5,high,,,0,0
taralli,Taralli,cereali,g,100,450,9.0,62.0,1.5,2.5,18.0,3.0,12.0,2.0,0,0.05,700,130,25,1.2,25,0.8,0,0,0,0,30,medium,"valori tipici del tarallo pugliese all'olio d'oliva (farina, olio, vino bianco, sale). Non letti da un'etichetta: se salta fuori la marca si correggono. Un tarallo pesa ~10 g",grano,0,0
bevanda_barbabietola_fermentata,Bevanda fermentata di barbabietola,bevande,ml,100,22,0.6,4.5,3.8,0.3,0.1,0.02,0.01,0.03,0,0.00,120,180,12,0.4,10,0.15,1.5,1,0,0,25,low,"Michele l'ha dichiarata analcolica e fermentata (21/08/2026). I valori sono quelli tipici di un kvass di barbabietola da banco frigo: gran parte degli zuccheri della radice se ne va nella fermentazione, quindi le kcal stanno sotto la meta' della barbabietola cotta. Nessuna etichetta letta. Conta come FERMENTATO nel modello della flora, ed e' il motivo per cui vale la pena averla come voce sua invece che come barbabietola",barbabietola,1,0
latte_proteico,Latte proteico (70 g proteine per litro),latticini,ml,100,61,7.0,4.7,4.7,0,1.5,1.00,0.38,0.06,0.06,0.02,52,230,230,0.1,16,0.7,1.0,15,0.0,0.7,6,low,"7 g di proteine per 100 ml: e' il 70 g/l dichiarato da Michele il 22/08/2026. Il resto e' l'etichetta tipica di un latte microfiltrato ad alto contenuto proteico (grassi 1.5 g, zuccheri 4.7 g); calcio e B12 salgono col concentrato proteico. Se salta fuori la marca, si correggono",,0,0
fiocchi_latte_magri,Fiocchi di latte magri,latticini,g,100,67,12.0,2.7,2.7,0,0.9,0.60,0.25,0.03,0.02,0.01,330,105,80,0.07,8,0.4,0,12,0.1,0.4,12,medium,"«fiocchi proteici, quelli da 67 kcal», dichiarati da Michele il 23/08/2026: sono i fiocchi di latte magri (cottage cheese light). Le 67 kcal/100 g sono le sue; i macro sono quelli che TORNANO a 67 con Atwater (12x4 + 2,7x4 + 0,9x9 = 67) sulla composizione tipica dello 0,8% di grassi. Micronutrienti dalla media della categoria, non letti da un'etichetta: se salta fuori la marca si correggono",,1,0
semi_misti,"Mix di semi (girasole, zucca, lino, chia)",grassi,g,100,570,21.0,15.0,2.0,12.0,47.0,5.50,12.00,26.00,0,5.50,10,700,180,6.5,400,6.0,1,2,0,0,90,low,"«un mix di semi» sullo yogurt, dichiarato il 23/08/2026: quale mix non e' detto, quindi e' la media di girasole/zucca/lino/chia in parti uguali. Voce di comodo, non un alimento letto da un'etichetta — il contatore delle piante la conta come UNA specie, come gia' fa con frutti_di_bosco e insalata_mista",semi_misti,0,0
burro_arachidi,Burro di arachidi (crema),grassi,g,100,588,25.1,19.6,9.2,6.0,50.4,10.30,24.00,14.20,0,0.05,430,650,45,1.9,160,2.9,0,0,0,0,90,medium,"la crema vera, NON la polvere sgrassata: Michele l'ha precisato il 25/08/2026 (commento all'ordine #53) — «a parte a colazione solitamente e' burro arachidi normale». Il porridge del mattino resta su burro_arachidi_sgrassato, tutto il resto va qui. Valori USDA (Peanut butter, smooth style, without salt); il sodio e' quello della versione salata da banco",arachide,0,1
albume,Albume d'uovo,proteine,ml,100,52,10.9,0.7,0.7,0,0.2,0.00,0.00,0.00,0,0.00,166,163,7,0.08,11,0.03,0,0,0,0.1,4,high,"albume liquido in brick, dichiarato da Michele il 27/08/2026 per il pranzo del 26 (100 ml). Valori USDA (Egg, white, raw, fresh); 100 ml pesano ~103 g, differenza dentro il rumore",,0,0
barretta_cereali,Barretta multicereale,cereali,unit,1,105,1.8,17.0,7.0,1.5,3.3,1.50,1.00,0.60,0,0.02,60,90,20,0.5,20,0.3,0,0,0,0,8,low,"«una barretta multicereale» dichiarata da Michele il 26/08/2026: marca non detta, quindi e' la media di una barretta da banco da ~25 g (cereali soffiati + sciroppo di glucosio + copertura). Non e' una barretta proteica: se salta fuori l'etichetta si corregge",avena,0,1
cavolo_rosso_fermentato,Cavolo rosso fermentato (crauti),verdura,g,100,27,1.3,6.0,2.0,2.9,0.2,0.02,0.05,0.07,0,0.03,660,170,30,1.5,13,0.2,15,5,0,0,24,low,"«un po' di cavolo rosso, di quello fermentato» dichiarato da Michele nella notte fra il 25 e il 26/08/2026 (ordine MC #55). Voce distinta da cavolo_rosso perche' la fermentazione cambia due cose che il registro conta: il sodio della salamoia sale a ~660 mg e la vitamina C scende da 57 a ~15 mg. Profilo dei crauti (USDA Sauerkraut, canned) riportato sulla base del cavolo rosso; marca non dichiarata, se salta fuori l'etichetta si corregge",cavolo_rosso,1,0
carciofi,Carciofi (cuori),verdura,g,100,53,2.89,11.95,0.99,8.6,0.34,0.08,0.01,0.15,0,0.05,60,286,21,0.61,42,0.40,7.4,1,0,0,89,medium,"USDA, carciofo globo lessato e sgocciolato. Voce creata il 28/08/2026 per la pizza del 27 (ordine MC #63): prima non esisteva a catalogo. Se sono carciofini SOTT'OLIO - il caso piu' probabile su una pizza - grassi e sodio sono molto piu' alti di cosi'",carciofo,0,0
carote_fermentate,Carote fermentate con zenzero,verdura,g,100,35,0.9,7.5,2.0,2.8,0.2,0.03,0.05,0.07,0,0.00,600,300,33,0.3,12,0.2,3,835,0,0,19,low,"«10 g di carote fermentate con zenzero» dichiarato da Michele per la cena del 28/08/2026 (ordine MC #64). Voce distinta da carote per le stesse due ragioni di cavolo_rosso_fermentato: il sodio della salamoia sale a ~600 mg e la vitamina C scende da 5,9 a ~3 mg, mentre il betacarotene regge la fermentazione e la vitamina A resta quella della carota. Zuccheri in parte consumati dai lattobacilli, quindi kcal da 41 a ~35. Profilo riportato dalla carota cruda sul modello USDA dei fermentati in salamoia; nessuna etichetta letta, se salta fuori la marca si corregge. Lo zenzero e' aromatizzante e non e' contato",carota,1,0
tortino_hot_meal,Tortino proteico «hot meal»,integratori,unit,1,180,15.0,20.0,8.0,3.0,4.5,2.0,1.5,0.6,0.05,0.02,220,250,120,1.5,45,1.0,0,0,0,0.3,10,low,"«il tortino hot meal» del pomeriggio del 28/08/2026 (ordine MC #64). Marca ed etichetta NON dichiarate: 180 kcal, 15 g di proteine, 20 g di carboidrati e 4,5 g di grassi sono la composizione tipica di un tortino proteico monoporzione da scaldare, e tornano con Atwater (15x4 + 20x4 + 4,5x9 = 180). Micronutrienti stimati sulla media della categoria, non letti da una confezione. E' la voce piu' debole del catalogo insieme a barretta_proteica: appena Michele dice la marca si riscrive tutta la riga",,0,1
ricotta_light_96,"Ricotta light (96 kcal/100 g, dichiarata)",latticini,g,100,96,8.5,3.5,3.5,0,5.5,3.50,1.40,0.20,0.220,0.05,90,105,200,0.3,11,1.0,0,70,0.1,0.25,10,medium,"«120 g di ricotta (96 kcal per 100 g)» dichiarato da Michele per la cena del 30/08/2026 (ordine MC #66). Le 96 kcal sono LETTE DA LUI sull'etichetta e non tornano con ricotta_vaccina (146 kcal): e' una ricotta light o di siero parzialmente scremata, e va tenuta distinta invece di sporcare la voce intera. Proteine, grassi e carboidrati ricalcolati sul profilo tipico delle ricotte light e verificati con Atwater (8,5x4 + 3,5x4 + 5,5x9 = 97,5, contro le 96 dichiarate). Il calcio scende poco rispetto alla vaccina, la vitamina A parecchio: e' liposolubile e segue il grasso tolto. Marca non dichiarata - se salta fuori l'etichetta si riscrive la riga",,0,0
uva,Uva da tavola,frutta,g,100,69,0.7,18.1,15.5,0.9,0.2,0.05,0.01,0.05,0,0.01,2,191,10,0.36,7,0.07,3.2,3,0,0,2,high,"USDA 2019 (Grapes, red or green, European type, raw). Un acino da tavola pesa 5-6 g: la convenzione del registro e' 5,5 g, quindi 10 acini = 55 g. Voce aggiunta il 31/08/2026 (ordine MC #68)",uva,0,0
